Depth (mm),d18o (per mil),age_model
289,-5.24,20.065475387857145
290,-5.28,20.13095157571429
291,-5.03,20.196427763571428
292,-4.96,20.26190395142857
293,-5.02,20.327380139285715
294,-5.1,20.39285632714286
295,-5.0,20.458332515000002
296,-4.8,20.523808702857142
297,-4.9,20.589284890714286
298,-4.87,20.65476107857143
299,-5.05,20.720237266428573
300,-5.12,20.785713454285712
301,-5.33,20.851189642142856
302,-5.32,20.91666583
303,-5.2,20.9566658284
304,-5.17,20.9966658268
305,-5.14,21.0366658252
306,-5.0,21.0766658236
307,-5.09,21.116665821999998
308,-5.07,21.1566658204
309,-5.19,21.1966658188
310,-4.93,21.2366658172
311,-5.08,21.2766658156
312,-5.1,21.316665814
313,-5.13,21.3566658124
314,-5.03,21.3966658108
315,-4.85,21.4366658092
316,-4.69,21.4766658076
317,-4.71,21.516665806
318,-4.82,21.556665804399998
319,-4.94,21.5966658028
320,-4.77,21.6366658012
321,-4.9,21.6766657996
322,-4.84,21.716665798
323,-4.76,21.7566657964
324,-4.9,21.7966657948
325,-5.29,21.836665793199998
326,-5.24,21.8766657916
327,-5.3,21.91666579
328,-5.18,21.9566657884
329,-5.07,21.9966657868
330,-5.065,22.0366657852
331,-5.06,22.0766657836
332,-4.99,22.116665782
333,-4.96,22.1566657804
334,-5.12,22.1966657788
335,-5.22,22.2366657772
336,-5.28,22.2766657756
337,-5.38,22.316665774
338,-5.43,22.3566657724
339,-5.36,22.3966657708
340,-5.43,22.4366657692
341,-5.31,22.4766657676
342,-5.2,22.516665766
343,-5.2,22.556665764399998
345,,22.6366657612
346,,22.6766657596
347,,22.716665758
348,,22.7566657564
349,,22.7966657548
350,,22.8366657532
351,,22.8766657516
352,,22.91666575
353,,22.9566657484
354,,22.996665746799998
355,,23.0366657452
356,,23.0766657436
357,,23.116665742
358,,23.1566657404
359,,23.1966657388
360,,23.2366657372
361,,23.276665735599998
362,,23.316665734
363,,23.3566657324
364,,23.3966657308
365,,23.4366657292
366,,23.4766657276
367,,23.516665726
368,,23.5566657244
369,,23.5966657228
371,,23.6766657196
372,,23.716665718
373,,23.7566657164
374,,23.7966657148
375,,23.8366657132
376,,23.8766657116
377,,23.91666571
378,,23.9566657084
379,,23.9966657068
380,,24.0366657052
381,,24.0766657036
382,,24.116665702
383,,24.1566657004
384,,24.1966656988
385,,24.2366656972
386,,24.276665695600002
387,,24.316665694
388,,24.3566656924
389,,24.3966656908
390,,24.4366656892
391,,24.4766656876
392,,24.516665686
393,,24.5566656844
394,,24.5966656828
395,,24.6366656812
396,,24.6766656796
397,,24.716665678
398,,24.7566656764
399,,24.7966656748
400,,24.8366656732
401,,24.8766656716
402,,24.91666567
403,,24.9566656684
404,,24.9966656668
405,,25.0366656652
406,,25.0766656636
407,,25.116665662
408,,25.1566656604
409,,25.1966656588
410,,25.2366656572
411,,25.2766656556
412,,25.316665654
413,,25.3566656524
414,,25.3966656508
415,,25.436665649200002
416,,25.4766656476
417,,25.516665646
418,,25.5566656444
420,,25.6366656412
421,,25.6766656396
422,,25.716665638000002
423,,25.7566656364
424,,25.7966656348
425,,25.8366656332
426,,25.8766656316
427,,25.91666563
428,,25.9566656284
429,,25.996665626800002
430,,26.0366656252
431,,26.0766656236
432,,26.116665622
433,,26.1566656204
434,,26.1966656188
435,,26.2366656172
436,,26.276665615600002
437,,26.316665614
438,,26.3566656124
439,,26.3966656108
440,,26.4366656092
441,,26.4766656076
444,,26.5966656028
445,,26.6366656012
446,,26.6766655996
447,,26.716665598
448,,26.7566655964
449,,26.7966655948
450,,26.8366655932
451,,26.876665591600002
452,,26.91666559
453,,26.9566655884
454,,26.9966655868
455,,27.0366655852
456,,27.0766655836
457,,27.116665582
458,,27.156665580400002
459,,27.1966655788
460,,27.2366655772
461,,27.2766655756
462,,27.316665574
463,,27.3566655724
464,,27.3966655708
465,,27.436665569200002
466,,27.4766655676
467,,27.516665566
468,,27.5566655644
469,,27.596665562800002
470,,27.6366655612
471,,27.6766655596
472,,27.716665558000003
473,,27.7566655564
474,,27.7966655548
475,,27.8366655532
476,,27.8766655516
477,,27.91666555
478,,27.9566655484
479,,27.996665546800003
480,,28.0366655452
481,,28.0766655436
482,,28.116665542
483,,28.1566655404
484,,28.1966655388
485,,28.2366655372
486,,28.276665535600003
487,,28.316665534000002
488,,28.3566655324
489,,28.3966655308
490,,28.4366655292
491,,28.4766655276
492,,28.516665526
